35,62,67
46,40,79
19,35,6
92,79,73
79,76,69
22,95,2
56,17,67
15,20,51
7,11,37
21,9,92
27,66,69
1,62,48
15,62,85
73,48,40
44,30,72
60,69,17
40,55,64
1,89,10
32,15,44
56,2,75
51,30,49
58,67,24
68,29,67
20,97,51
6,63,66
71,8,16
19,51,67
21,62,60
38,55,34
70,97,81
68,82,79
27,69,50
83,45,44
16,12,81
24,47,92
68,16,27
20,92,39
92,14,49
39,73,80
5,96,51
65,60,54
48,21,16
4,20,57
92,74,23
51,55,25
56,55,51
49,39,90
36,42,87
52,65,45
39,93,91
27,98,18
8,100,99
4,74,34
38,52,78
32,16,9
82,42,44
70,88,33
30,77,83
90,38,12
86,12,26
35,10,62
49,63,55
65,87,57
55,28,51
82,5,28
56,15,62
95,17,58
100,59,94
98,8,83
65,58,27
3,10,38
48,92,78
93,1,34
63,99,3
19,5,81
51,12,55
60,49,3
9,35,4
89,49,22
15,45,5
77,31,7
9,99,12
50,7,63
7,71,33
90,85,88
22,3,47
53,72,29
48,23,86
89,45,78
98,61,31
41,16,52
92,68,9
47,83,51
37,77,19
87,29,35
28,86,18
81,89,95
90,13,29
96,52,51
71,91,36
76,73,83
97,73,45
7,95,84
74,56,37
7,72,24
52,14,29
100,74,81
93,16,43
45,43,17
20,36,82
65,50,50
77,58,31
21,36,48
96,3,54
99,72,23
93,47,6
17,95,21
66,80,73
8,23,2
69,55,75
70,2,68
45,92,48
92,82,11
8,48,13
78,87,97
9,64,26
29,84,19
49,43,22
29,71,52
100,50,16
50,54,55
15,71,78
100,73,47
65,74,47
27,52,68
60,36,90
75,25,57
18,16,62
39,91,29
96,15,88
3,90,10
94,11,27
77,25,12
23,98,38
88,46,22
80,5,57
30,4,40
99,46,58
43,86,20
44,11,70
73,85,53
42,20,38
79,32,92
31,54,42
21,87,31
7,60,2
4,48,63
28,57,12
73,87,94
47,79,48
94,63,69
43,30,23
11,87,37
89,15,78
26,14,79
96,20,40
28,28,72
61,29,80
65,58,98
89,85,84
64,55,12
22,85,18
60,18,51
48,15,47
88,55,92
43,48,57
79,21,63
32,27,86
10,22,24
19,99,54
89,79,66
44,27,17
75,29,54
31,93,66
52,7,30
34,63,16
50,46,69
1,86,81
34,35,17
3,17,30
54,23,2
76,33,87
33,47,49
99,6,44
80,47,34
85,51,71
76,19,48
79,8,51
59,58,58
74,45,96
48,64,23
76,20,34
30,20,46
40,48,79
93,55,87
23,22,51
30,77,89
20,25,64
18,34,8
54,33,9
50,94,32
58,27,24
16,28,73
29,13,56
12,29,29
88,40,78
90,18,4
12,50,4
90,26,78
29,88,73
53,37,54
95,58,64
76,1,69
36,15,85
49,16,76
58,4,51
24,91,96
49,12,46
3,18,89
100,92,83
88,78,3
26,30,6
56,95,28
82,5,63
90,27,79
58,10,66
65,3,99
64,22,100
77,37,20
4,81,83
31,7,34
73,98,96
68,77,88
49,26,80
81,56,56
25,95,82
20,61,23
78,38,55
42,91,99
30,65,99
28,96,78
100,20,27
43,1,57
41,61,22
72,42,44
54,31,91
60,30,62
40,100,11
32,62,17
76,66,70
23,23,88
64,24,99
84,54,24
34,8,80
40,50,1
62,44,75
14,88,37
98,52,98
5,5,4
38,39,45
74,100,97
56,30,16
42,9,55
46,32,39
54,11,41
39,17,44
80,84,86
71,11,43
33,44,2
36,28,71
54,70,28
8,47,87
79,49,32
96,85,49
64,83,17
20,56,77
3,55,82
81,37,12
33,9,41
12,83,11
44,61,29
74,39,87
57,21,1
